,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
191,Gary Harris,13000000,ORL,SG,24.7,2.9,6.4,0.9,1.9,0.6,0.6,0.6,8.3,2.3,0.4
192,Joe Harris,18642857,BRK,SG,20.6,2.7,5.9,0.8,1.4,0.2,0.4,0.6,7.6,2.6,0.3
193,Kevon Harris,508891,ORL,SG,13.4,1.4,3.1,0.9,1.9,0.9,1.2,0.6,4.1,0.6,-0.2
194,Tobias Harris,37633050,PHI,PF,32.9,5.7,11.4,4.0,7.0,1.5,1.7,1.2,14.7,5.9,1.7
195,Shaquille Harrison,134862,POR,SG,24.0,3.0,7.2,2.4,5.2,2.2,3.0,1.2,8.8,0.3,0.1
196,Josh Hart,12960000,TOT,SF-SG,32.3,3.6,6.8,2.8,4.7,1.7,2.3,1.5,9.8,6.0,1.8
197,Isaiah Hartenstein,7804879,NYK,C,19.8,2.1,4.0,2.0,3.5,0.6,0.9,0.8,5.0,4.6,0.7
198,Udonis Haslem,2905851,MIA,C,10.1,1.4,4.1,1.0,2.9,0.6,0.7,0.1,3.9,0.0,-0.2
199,Sam Hauser,1637966,BOS,PF,16.1,2.3,5.0,0.5,0.8,0.2,0.2,0.4,6.4,3.4,1.0
200,Jaxson Hayes,6803012,NOP,C,13.0,1.8,3.3,1.8,2.7,1.2,1.8,0.7,5.0,1.5,0.1
201,Killian Hayes,5837760,DET,PG,28.3,4.0,10.7,3.0,7.0,1.2,1.5,2.3,10.3,-0.5,-1.0
202,Gordon Hayward,30075000,CHO,SF,31.5,5.5,11.6,4.5,8.4,2.6,3.2,2.0,14.7,2.0,0.2
203,Juancho Hernangomez,2298385,TOR,PF,14.6,1.1,2.7,0.7,1.1,0.2,0.4,0.4,2.9,0.7,-0.2
204,Willy Hernangomez,2443581,NOP,C,12.1,2.3,4.4,2.3,4.2,2.1,2.7,1.0,6.9,1.6,0.3
205,Tyler Herro,5722116,MIA,SG,34.9,7.3,16.6,4.2,8.5,2.5,2.7,2.4,20.1,3.5,1.6
206,Buddy Hield,21177750,IND,SF,31.0,5.9,13.0,2.3,4.5,1.3,1.6,1.7,16.8,4.4,2.4
